sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 79,flat,supertech araville,0.95,6209.0,1530.04,2.0,2.0,3,7.0,New Property,1385.0,0,0,0,0,1,0,49,765.02
sector 111,flat,puri diplomatic greens,2.65,13589.0,1950.11,3.0,4.0,2,7.0,Relatively New,2086.0,0,0,1,0,0,2,159,650.0366666666666
sushant lok,house,independent,2.5,2885.0,8667.0,7.0,7.0,3.0,4.0,Relatively New,963.0,1,0,0,0,0,2,20,1238.142857142857
sector 23,house,independent,2.7,18620.0,1450.1,5.0,5.0,2.0,3.0,Old Property,1450.1,0,0,0,0,0,2,17,290.02
sector 37c,flat,ild greens,1.05,7500.0,1400.0,3.0,3.0,3,4.0,New Property,1500.0,0,0,0,0,0,2,5,466.6666666666667
sector 102,flat,shapoorji pallonji joyville gurugram,0.96,10491.0,915.07,2.0,2.0,2,10.0,Relatively New,828.0,0,0,0,0,0,0,132,457.535
sector 48,flat,central park 2 bellevue,5.0,11627.0,4300.34,3.0,4.0,3,14.0,Moderately Old,4778.0,0,0,0,0,0,0,82,1433.4466666666667
sector 79,flat,godrej,1.29,8206.0,1572.02,2.0,2.0,3,4.0,New Property,1423.0,0,0,0,0,0,0,0,786.01
sector 89,flat,m3m soulitude,1.28,8827.0,1450.1,3.0,3.0,2,4.0,Under Construction,1611.0,0,0,0,0,1,0,114,483.3666666666666
sector 104,flat,ats triumph,1.8,7860.0,2290.08,3.0,4.0,3,14.0,New Property,2544.0,0,0,0,0,0,0,60,763.36
sector 92,flat,bestech park view sanskruti,1.6,7547.0,2120.05,3.0,3.0,3,10.0,Relatively New,1765.0,0,0,1,0,0,2,60,706.6833333333334
sector 102,flat,conscient heritage max,2.15,9306.0,2310.34,3.0,4.0,3,13.0,Relatively New,1945.0,0,0,1,0,1,0,101,770.1133333333333
sector 63,flat,adani brahma samsara vilasa,3.25,29545.0,1100.02,3.0,3.0,3,4.0,New Property,2700.0,1,0,0,0,0,0,41,366.67333333333335
sector 86,flat,ansal heights 86,1.3,4666.0,2786.11,4.0,6.0,2,11.0,New Property,2521.0,1,0,1,0,0,0,86,696.5275
sector 92,flat,apartment,0.75,4687.0,1600.17,3.0,4.0,3,2.0,Moderately Old,1778.0,0,0,0,0,1,0,113,533.39
sector 107,flat,m3m woodshire,1.4,5929.0,2361.28,3.0,4.0,0,1.0,New Property,2137.0,0,0,0,0,0,0,67,787.0933333333334
