sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score
sector 81,flat,bestech park view grand spa,2.35,8834.0,2660.18,Super Built up area 2660(247.12 sq.m.)Carpet area: 2354 sq.ft. (218.69 sq.m.),3.0,4.0,3+,10.0,North-West,Relatively New,2660.0,,2354.0,0,0,1,0,0,0,109
sector 102,flat,emaar gurgaon greens,1.45,8787.0,1650.17,Super Built up area 1650(153.29 sq.m.),3.0,3.0,2,7.0,South-West,Relatively New,1650.0,,,0,0,1,0,0,0,169
sector 99,flat,vatika sovereign park,3.2,9922.0,3225.16,Built Up area: 3225 (299.61 sq.m.),4.0,4.0,0,5.0,North-East,Under Construction,,3225.0,,0,0,0,0,0,0,23
sector 33,flat,breeze global heights,0.4,6421.0,622.96,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2.0,2.0,2,4.0,,Undefined,,623.0,599.0,0,0,0,0,0,0,0
sector 1a,flat,dlf express greens,1.2,6505.0,1844.73,Super Built up area 1845(171.41 sq.m.),3.0,4.0,2,5.0,East,Relatively New,1845.0,,,1,0,1,0,0,0,43
sector 109,flat,ats kocoon,2.22,10596.0,2095.13,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3.0,4.0,3,14.0,East,Relatively New,2095.0,1860.0,,0,1,1,1,1,0,45
sector 5,house,sheetla enclave,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7.0,4.0,2.0,3.0,,Moderately Old,,945.0,,0,1,0,1,0,2,0
sector 107,flat,m3m woodshire,0.94,6881.0,1366.08,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,1.0,East,Moderately Old,1366.0,,,0,0,0,0,0,0,113
sector 99a,flat,laxmi apartment sector 99a gurgaon,0.3,4615.0,650.05,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,1,4.0,,New Property,650.0,,550.0,0,0,0,0,0,0,44
dwarka expressway,flat,the cocoon,2.0,13333.0,1500.04,Super Built up area 1500(139.35 sq.m.),3.0,3.0,3,5.0,,New Property,1500.0,,,0,0,0,0,0,0,0
sector 78,flat,umang monsoon breeze,1.2,6493.0,1848.14,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3.0,3.0,2,8.0,,Moderately Old,2250.0,,1848.0,0,1,0,0,0,1,8
sector 74,flat,m3m skywalk,2.7,13379.0,2018.09,Super Built up area 2018(187.48 sq.m.),3.0,3.0,3,13.0,,New Property,2018.0,,,0,0,0,1,0,0,92
sector 3,flat,om appartments,0.4,4444.0,900.09,Carpet area: 900 (83.61 sq.m.),3.0,2.0,1,3.0,,Relatively New,,,900.0,0,0,0,0,0,0,7
sector 37c,flat,imperia the esfera,0.87,5513.0,1578.09,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),2.0,3.0,3+,5.0,North-West,Relatively New,1578.0,1300.0,1110.0,0,0,0,0,1,0,109
sector 3,flat,ashok vihar phase 2,0.28,4307.0,650.1,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,1,3.0,North,Relatively New,650.0,,550.0,0,0,0,0,0,0,64
sector 66,flat,emaar the palm drive,3.9,18636.0,2092.72,Built Up area: 2200 (204.39 sq.m.),3.0,4.0,3,2.0,,Relatively New,,2200.0,,0,0,0,0,0,0,0
sushant lok,house,sushant lok 1 builder floors,1.65,30556.0,540.0,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 500 sq.yards (418.06 sq.m.),4.0,4.0,3+,4.0,West,Moderately Old,,540.0,500.0,1,0,0,0,0,1,49
sector 112,flat,experion windchants,5.49,11584.0,4739.3,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4.0,5.0,3+,5.0,South,Relatively New,4739.0,3655.0,,0,0,1,0,0,2,168
sector 9,house,independent,0.35,9722.0,360.0,Plot area 40(33.45 sq.m.),2.0,2.0,1.0,2.0,South-East,Old Property,,360.0,,0,0,0,0,0,0,0
sector 27,house,independent,8.25,45833.0,1800.0,Plot area 210(175.59 sq.m.)Built Up area: 205 sq.yards (171.41 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),12.0,12.0,3+,4.0,East,New Property,,205.0,200.0,0,1,1,0,0,2,40
sector 50,house,unitech espace,7.45,34491.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4.0,4.0,3.0,3.0,,Old Property,,4500.0,4000.0,0,0,1,0,0,2,59
sector 7,flat,"new colony, gurgaon",0.8,8100.0,987.65,Carpet area: 990 (91.97 sq.m.),3.0,2.0,1,4.0,North-East,Relatively New,,,990.0,0,0,0,0,0,2,69
surat nagar,house,independent,0.45,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4.0,4.0,2.0,4.0,North,Moderately Old,,,1500.0,0,0,0,0,0,2,7
sector 92,house,sare crescent parc royal greens phase 1,0.85,4877.0,1742.9,Built Up area: 1743 (161.93 sq.m.),4.0,4.0,3.0,4.0,,Undefined,,1743.0,,0,0,0,0,0,0,0
sector 2,house,independent,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),5.0,6.0,3+,3.0,East,Old Property,,2430.0,,1,1,0,0,1,2,43
sector 89,flat,smart world gems,1.0,9007.0,1110.25,Carpet area: 1110 (103.12 sq.m.),2.0,2.0,3,3.0,,New Property,,,1110.0,1,0,0,0,1,0,99
sector 70,flat,shree vardhman victoria,1.64,8384.0,1956.11,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,5.0,3,3.0,North,Relatively New,1950.0,,1161.0,0,0,1,0,0,0,51
sector 79,flat,supertech araville,1.1,5641.0,1950.01,Carpet area: 1950 (181.16 sq.m.),3.0,3.0,3,1.0,,Relatively New,,,1950.0,0,0,0,0,0,2,106
sector 65,flat,m3m skycity,1.8,13700.0,1313.87,Carpet area: 1310 (121.7 sq.m.),2.0,2.0,3,13.0,,New Property,,,1310.0,0,0,0,0,0,0,73
sector 37c,flat,ild greens,0.9,5614.0,1603.14,Super Built up area 1603(148.92 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,3,0.0,North-East,Under Construction,1603.0,1500.0,,0,0,0,0,0,0,66
sector 70a,flat,aipl the peaceful homes,2.5,10638.0,2350.07,Super Built up area 2350(218.32 sq.m.),3.0,4.0,3,8.0,South,Relatively New,2350.0,,,0,0,1,1,0,2,174
sector 74,flat,m3m skywalk,1.47,10954.0,1341.98,Super Built up area 1415(131.46 sq.m.),2.0,2.0,3,26.0,,New Property,1415.0,,,0,0,0,0,0,2,31
sector 90,flat,shree vardhman flora,0.65,6789.0,957.43,Super Built up area 1350(125.42 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,9.0,South-East,Relatively New,1350.0,1050.0,950.0,0,0,0,0,1,0,67
sector 65,flat,m3m heights,2.29,15980.0,1433.04,Carpet area: 1433 (133.13 sq.m.),2.0,2.0,3,8.0,,Under Construction,,,1433.0,0,0,0,0,1,0,15
sector 84,flat,antriksh heights,0.73,6083.0,1200.07,Super Built up area 1200(111.48 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),2.0,2.0,3+,4.0,North-West,Relatively New,1200.0,,870.0,0,1,0,1,1,0,158
sector 89,flat,smart world gems,0.95,8903.0,1067.06,Super Built up area 1067(99.13 sq.m.)Carpet area: 578 sq.ft. (53.7 sq.m.),2.0,2.0,2,1.0,East,Under Construction,1067.0,,578.0,0,0,0,0,1,0,122
sector 81,flat,bestech park view grand spa,4.2,10000.0,4200.0,Super Built up area 4200(390.19 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4.0,4.0,3+,25.0,South,Relatively New,4200.0,,2900.0,0,0,1,0,0,2,90
sohna road,flat,signature the serenas,0.42,7909.0,531.04,Carpet area: 531 (49.33 sq.m.),2.0,2.0,1,12.0,,New Property,,,531.0,0,0,0,0,0,0,54
sohna road,flat,breez global hill view,0.32,5776.0,554.02,Carpet area: 554 (51.47 sq.m.),2.0,2.0,2,19.0,North,Relatively New,,,554.0,0,0,0,0,0,2,21
sector 92,flat,sare green parc phase 3,0.79,6086.0,1298.06,Super Built up area 1298(120.59 sq.m.),3.0,2.0,2,15.0,North,New Property,1298.0,,,0,0,0,0,0,0,29
dlf phase,house,independent,,,,Plot area 502(419.74 sq.m.)Built Up area: 450 sq.yards (376.26 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),5.0,5.0,3+,2.0,West,Relatively New,,450.0,400.0,1,1,1,0,1,2,49
sector 7,house,independent,1.16,11717.0,990.0,Carpet area: 110 (91.97 sq.m.),5.0,4.0,2.0,1.0,North-East,Undefined,,,110.0,0,0,0,0,0,0,0
sector 93,flat,signature global orchard avenue,0.4,7359.0,543.55,Carpet area: 543.53 (50.5 sq.m.),2.0,2.0,2,11.0,,New Property,,,543.0,0,0,0,0,0,0,37
sector 85,flat,ss the leaf,1.04,5973.0,1741.17,Super Built up area 1741(161.74 sq.m.),2.0,3.0,3+,4.0,West,Relatively New,1741.0,,,0,0,0,1,0,0,113
sector 37d,flat,bptp terra,1.79,8983.0,1992.65,Super Built up area 1998(185.62 sq.m.),4.0,3.0,3,15.0,South-West,Relatively New,1998.0,,,1,0,0,0,0,2,37
sector 65,flat,m3m golfestate,6.15,15998.0,3844.23,Carpet area: 3844 (357.12 sq.m.),3.0,5.0,3+,1.0,West,Relatively New,,,3844.0,0,0,1,0,0,1,49
sohna road,flat,ashiana mulberry,1.07,6184.0,1730.27,Super Built up area 1730(160.72 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3.0,3+,7.0,North-East,Relatively New,1730.0,1600.0,1300.0,0,0,0,0,0,0,167
sector 103,flat,landmark the residency,0.9,6666.0,1350.14,Super Built up area 1350(125.42 sq.m.),2.0,2.0,2,1.0,South-West,Relatively New,1350.0,,,0,0,0,0,0,0,44
sector 9,house,independent,3.4,12938.0,2627.9,Plot area 292(244.15 sq.m.),9.0,9.0,3.0,3.0,West,Moderately Old,,2628.0,,0,0,0,0,0,2,61
sohna road,flat,breez global heights,0.21,5329.0,394.07,Carpet area: 394 (36.6 sq.m.),1.0,1.0,1,2.0,,Relatively New,,,394.0,0,0,0,0,0,0,21
sector 10a,house,independent,1.7,18888.0,900.0,Plot area 900(83.61 sq.m.),2.0,1.0,2.0,2.0,East,Old Property,,900.0,,1,0,0,0,0,0,8
sector 65,flat,emaar mgf emerald estate,1.3,20602.0,631.01,Super Built up area 1020(94.76 sq.m.)Carpet area: 631 sq.ft. (58.62 sq.m.),2.0,2.0,2,7.0,West,Relatively New,1020.0,,631.0,0,0,0,0,1,0,78
sector 107,flat,m3m woodshire,0.82,6002.0,1366.21,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,7.0,North-East,Relatively New,1366.0,,,0,0,0,0,0,0,111
sector 84,flat,antriksh heights,0.85,4927.0,1725.19,Super Built up area 1725(160.26 sq.m.),3.0,3.0,3+,10.0,North,Relatively New,1725.0,,,0,0,0,0,1,0,52
new palam,house,my home,0.34,12592.0,270.0,Plot area 270(25.08 sq.m.),2.0,2.0,2.0,3.0,West,Moderately Old,,270.0,,0,0,0,0,0,0,22
sector 6,house,independent,0.75,10518.0,713.1,Plot area 713(66.24 sq.m.),6.0,4.0,1.0,3.0,,Moderately Old,,713.0,,0,0,0,0,0,0,62
sector 9a,house,independent,4.5,14286.0,3149.9,Plot area 14(354.1 sq.m.),9.0,9.0,3+,3.0,,Relatively New,,126.0,,1,1,0,0,1,2,38
sector 2,house,ansals palam vihar,5.7,14729.0,3869.9,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5.0,5.0,2.0,2.0,North-East,Old Property,,4550.0,4450.0,0,1,0,0,0,1,94
sector 70a,flat,aipl zen residences,1.34,10276.0,1304.01,Super Built up area 1304(121.15 sq.m.),2.0,2.0,3+,17.0,East,New Property,1304.0,,,0,0,0,0,0,2,110
sector 92,flat,bestech park view sanskruti,1.6,8020.0,1995.01,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3.0,4.0,3+,10.0,North-West,Relatively New,1995.0,1615.0,1476.0,1,0,1,0,0,2,174
sector 37d,flat,bptp terra,1.55,7074.0,2191.12,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4.0,3.0,3+,19.0,North-East,Relatively New,2191.0,2100.0,1800.0,1,0,0,0,0,2,131
sector 95,flat,the roselia 2,0.45,6475.0,694.98,Built Up area: 695 (64.57 sq.m.)Carpet area: 595 sq.ft. (55.28 sq.m.),2.0,2.0,2,19.0,North,Undefined,,695.0,595.0,0,0,0,0,0,0,0
sector 104,flat,puri emerald bay,2.23,9911.0,2250.03,Super Built up area 2450(227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3.0,4.0,3+,10.0,East,Relatively New,2450.0,,2250.0,0,0,1,0,0,2,159
sector 4,house,not applicable,0.8,54794.0,146.0,Plot area 146(13.56 sq.m.),5.0,4.0,3.0,3.0,,Under Construction,,146.0,,0,0,0,0,0,0,0
sector 103,flat,ansal housing highland park,1.1,6242.0,1762.26,Super Built up area 1762(163.7 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3.0,3+,7.0,North-East,New Property,1762.0,1500.0,1300.0,0,0,0,0,0,0,87
sector 95,flat,ramson kshitij sec-95 gurugram,0.27,2700.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,0,1.0,West,Undefined,1000.0,,550.0,0,0,0,0,0,0,0
sector 85,flat,ss the leaf,1.93,8075.0,2390.09,Super Built up area 2408(223.71 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2390 sq.ft. (222.04 sq.m.),3.0,4.0,3,7.0,North-East,Relatively New,2408.0,2400.0,2390.0,0,0,1,0,0,0,174
sector 37d,flat,signature global city,1.0,8160.0,1225.49,Built Up area: 1250 (116.13 sq.m.)Carpet area: 915 sq.ft. (85.01 sq.m.),3.0,3.0,3,4.0,South-East,Under Construction,,1250.0,915.0,0,0,0,0,0,0,49
sector 83,flat,vatika gurgaon,1.12,6455.0,1735.09,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,2,17.0,South,Moderately Old,1735.0,1500.0,1400.0,0,0,0,0,0,2,111
sector 56,flat,kiran residency,1.55,6888.0,2250.29,Super Built up area 2250(209.03 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3.0,3.0,3+,5.0,North,Moderately Old,2250.0,1900.0,1750.0,0,1,1,0,0,2,92
sector 66,house,emaar mgf marbella,18.0,40000.0,4500.0,Plot area 500(418.06 sq.m.),5.0,6.0,3+,3.0,North-East,Relatively New,,4500.0,,0,1,1,1,1,1,153
sohna road,flat,ashiana anmol,0.93,7294.0,1275.02,Super Built up area 1275(118.45 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 875 sq.ft. (81.29 sq.m.),2.0,2.0,2,9.0,,Under Construction,1275.0,1000.0,875.0,1,0,0,0,0,0,31
sector 2,flat,supertech hill town,1.5,8720.0,1720.18,Carpet area: 1720 (159.79 sq.m.),3.0,3.0,3+,3.0,East,Under Construction,,,1720.0,0,0,0,0,0,0,46
sector 84,flat,ss the coralwood,1.1,4857.0,2264.77,Super Built up area 1750(162.58 sq.m.),3.0,3.0,2,9.0,North,Relatively New,1750.0,,,0,0,0,0,0,0,75
dlf phase,house,independent,15.0,33333.0,4500.0,Built Up area: 4500 (418.06 sq.m.),4.0,4.0,3.0,3.0,,Moderately Old,,4500.0,,0,0,1,1,0,2,36
sector 2,flat,bestech park view residency,1.4,7865.0,1780.04,Super Built up area 1780(165.37 sq.m.),3.0,3.0,3+,6.0,North,Old Property,1780.0,,,0,0,0,0,0,1,107
sector 109,house,international city by sobha phase 2,11.3,25111.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7.0,5.0,3+,4.0,East,Relatively New,,480.0,460.0,1,1,1,0,1,0,49
sector 85,flat,ss the leaf,1.2,7317.0,1640.02,Super Built up area 1640(152.36 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,6.0,North,Relatively New,1640.0,1300.0,1000.0,0,0,0,0,0,2,174
sector 69,flat,tulip violet,1.5,10714.0,1400.04,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,2,8.0,North-East,Relatively New,1578.0,,1400.0,0,1,0,0,0,2,174
sector 69,flat,unitech sunbreeze,1.0,5476.0,1826.15,Built Up area: 1826 (169.64 sq.m.),4.0,3.0,0,0.0,,Undefined,,1826.0,,0,0,0,0,0,0,0
sector 65,flat,emaar mgf emerald floors premier,2.8,16969.0,1650.07,Super Built up area 1650(153.29 sq.m.),3.0,3.0,2,3.0,East,Relatively New,1650.0,,,0,0,1,0,0,0,105
sector 70a,flat,aipl zen residences,1.25,9904.0,1262.12,Carpet area: 1262 (117.24 sq.m.),2.0,2.0,3,19.0,,Undefined,,,1262.0,0,0,0,0,0,0,0
sector 83,flat,vatika gurgaon,0.98,8166.0,1200.1,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,5.0,South,Relatively New,1445.0,1300.0,1200.0,0,0,0,0,0,2,96
dlf phase,house,independent,8.4,34568.0,2430.0,Plot area 270(225.75 sq.m.),4.0,4.0,3+,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,0,2,139
sector 7,flat,rwa,0.48,6000.0,800.0,Carpet area: 800 (74.32 sq.m.),3.0,2.0,1,1.0,North-East,New Property,,,800.0,0,0,0,0,0,0,21
sector 61,flat,smart world orchard,1.7,15000.0,1133.33,Carpet area: 1150 (106.84 sq.m.),2.0,2.0,2,4.0,,Under Construction,,,1150.0,0,0,0,0,0,0,24
sector 109,flat,ats kocoon,2.2,10501.0,2095.04,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3.0,4.0,3,13.0,West,Relatively New,2095.0,1860.0,,0,0,1,0,0,0,165
sector 105,house,independent,0.37,8222.0,450.0,Plot area 450(41.81 sq.m.),2.0,2.0,1.0,1.0,,Moderately Old,,450.0,,1,0,0,0,0,0,0
sector 77,flat,umang winter hills,1.0,7500.0,1333.33,Carpet area: 1340 (124.49 sq.m.),2.0,2.0,2,3.0,,New Property,,,1340.0,0,0,0,0,0,0,74
sector 66,house,emaar mgf marbella,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5.0,6.0,3+,4.0,North-East,New Property,,3150.0,,0,1,1,0,0,0,38
sector 70,flat,unitech vistas,0.53,4800.0,1104.17,Super Built up area 1095(101.73 sq.m.),2.0,2.0,2,9.0,,Under Construction,1095.0,,,1,0,0,0,0,0,24
sector 83,flat,vatika gurgaon,1.25,6313.0,1980.04,Super Built up area 1980(183.95 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,2,12.0,North,Moderately Old,1980.0,1700.0,1400.0,0,0,1,0,0,0,95
new palam,house,independent,2.0,14914.0,1341.0,Plot area 1341(124.58 sq.m.),6.0,4.0,3.0,3.0,East,Relatively New,,1341.0,,0,1,0,0,1,2,36
sector 79,flat,mapsko mount ville,1.3,8024.0,1620.14,Super Built up area 1620(150.5 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3.0,3.0,3+,1.0,North-East,Relatively New,1620.0,,863.0,0,0,0,0,0,2,140
sector 2,flat,bestech park view residency,1.01,7137.0,1415.16,Super Built up area 1415(131.46 sq.m.),2.0,2.0,3,0.0,East,Moderately Old,1415.0,,,0,0,0,0,0,0,92
sushant lok,flat,ansal harmony homes,1.12,10666.0,1050.07,Super Built up area 1050(97.55 sq.m.),2.0,2.0,1,0.0,,Old Property,1050.0,,,0,0,0,0,0,0,72
sector 70,flat,tulip ivory,2.0,8333.0,2400.1,Super Built up area 2400(222.97 sq.m.),4.0,5.0,3+,2.0,South-East,Relatively New,2400.0,,,0,0,1,0,0,2,49
sector 37d,flat,bptp park generations,1.5,9868.0,1520.06,Super Built up area 1520(141.21 sq.m.),3.0,2.0,3+,17.0,North-East,Relatively New,1520.0,,,0,0,0,0,0,0,42
sector 86,flat,dlf the skycourt,1.5,7894.0,1900.18,Super Built up area 1900(176.52 sq.m.),3.0,3.0,1,16.0,East,Relatively New,1900.0,,,1,0,0,0,0,0,49
sector 109,flat,sbtl caladium,1.2,6382.0,1880.29,Super Built up area 1880(174.66 sq.m.),3.0,2.0,2,8.0,South,Relatively New,1880.0,,,0,0,0,0,0,0,151
b block,house,independent,15.5,28233.0,5490.0,Plot area 610(510.04 sq.m.),5.0,6.0,3.0,3.0,East,Moderately Old,,5490.0,,0,1,1,1,1,0,76
sector 90,flat,dlf new town heights,1.65,6979.0,2364.24,Super Built up area 2364(219.62 sq.m.),4.0,4.0,3+,15.0,South-East,Moderately Old,2364.0,,,0,0,1,0,0,2,137
sector 49,house,ss aaron ville,6.75,19737.0,3420.0,Plot area 380(317.73 sq.m.),5.0,4.0,2.0,2.0,North,Old Property,,3420.0,,0,0,1,1,1,0,78
sector 106,flat,paras dews,1.42,6029.0,2355.28,Super Built up area 2355(218.79 sq.m.),4.0,6.0,3+,11.0,North-East,Relatively New,2355.0,,,0,0,1,0,0,0,143
sector 99a,flat,pareena coban residences,1.05,6774.0,1550.04,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2.0,2.0,3,2.0,East,Relatively New,1550.0,1390.0,1240.0,0,0,0,0,1,0,49
sector 83,flat,vatika gurgaon,1.19,7437.0,1600.11,Carpet area: 1600 (148.64 sq.m.),3.0,3.0,2,10.0,South,Relatively New,,,1600.0,0,0,1,0,0,2,35
sector 99,flat,pivotal riddhi siddhi,0.4,4444.0,900.09,Super Built up area 900(83.61 sq.m.)Carpet area: 587 sq.ft. (54.53 sq.m.),2.0,2.0,2,9.0,,New Property,900.0,,587.0,0,0,0,0,0,0,60
sector 22,flat,ambience creacions,2.55,13709.0,1860.09,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3,8.0,North-East,Relatively New,1860.0,1600.0,1400.0,1,0,0,0,0,2,125
sector 102,flat,shapoorji pallonji joyville gurugram,1.8,10638.0,1692.05,Super Built up area 1692(157.19 sq.m.),3.0,3.0,3,5.0,North,Relatively New,1692.0,,,0,0,0,0,0,0,49
sector 95,flat,sidhartha ncr one phase,0.9,4500.0,2000.0,Built Up area: 2000 (185.81 sq.m.),3.0,3.0,1,15.0,,Relatively New,,2000.0,,0,0,0,0,0,0,60
sector 79,flat,godrej aria,1.45,9062.0,1600.09,Super Built up area 1495(138.89 sq.m.)Built Up area: 1494 sq.ft. (138.8 sq.m.),2.0,2.0,3+,9.0,East,Relatively New,1495.0,1494.0,,0,0,0,0,1,0,113
sector 107,flat,signature global solera,0.25,7862.0,317.99,Built Up area: 318 (29.54 sq.m.),1.0,1.0,0,0.0,,Undefined,,318.0,,0,0,0,0,0,0,55
sector 65,flat,m3m heights,2.5,13600.0,1838.24,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,19.0,,Under Construction,1828.0,,,0,0,0,0,0,0,48
sector 112,flat,experion windchants,6.5,10416.0,6240.4,Built Up area: 4800 (445.93 sq.m.),4.0,5.0,3,11.0,South,Relatively New,,4800.0,,0,0,0,0,0,0,55
sector 39,house,independent,1.8,21875.0,822.9,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1.0,1.0,2.0,3.0,North-East,Relatively New,,800.0,720.0,0,0,0,0,0,0,0
sector 99,flat,pivotal riddhi siddhi,0.5,8517.0,587.06,Carpet area: 587 (54.53 sq.m.),2.0,1.0,2,7.0,,New Property,,,587.0,0,0,0,0,0,0,24
dlf phase,flat,dlf regency park,1.35,11992.0,1125.75,Built Up area: 1109 (103.03 sq.m.),2.0,2.0,2,1.0,,Moderately Old,,1109.0,,0,0,0,0,0,0,0
sector 71,flat,chd avenue,1.4,7945.0,1762.11,Carpet area: 1762 (163.7 sq.m.),3.0,3.0,2,1.0,South-East,Moderately Old,,,1762.0,0,1,0,0,0,2,125
sector 95,flat,ramsons kshitij,0.22,6470.0,340.03,Super Built up area 340(31.59 sq.m.),1.0,1.0,1,2.0,,New Property,340.0,,,0,0,0,0,0,0,0
sector 104,flat,puri emerald bay,2.55,10408.0,2450.04,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4.0,4.0,3+,5.0,East,Relatively New,2450.0,,2150.0,0,0,1,0,0,0,49
sector 106,flat,paras dews,0.88,6353.0,1385.17,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1040 sq.ft. (96.62 sq.m.),2.0,2.0,3+,3.0,South-East,Relatively New,1385.0,1120.0,1040.0,0,0,0,0,0,0,49
sector 37d,flat,ramprastha primera,1.2,13333.0,900.02,Carpet area: 900 (83.61 sq.m.),3.0,3.0,3,5.0,North-East,Relatively New,,,900.0,0,0,0,1,0,0,50
sector 112,flat,experion windchants,3.75,13383.0,2802.06,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3.0,3.0,2,21.0,West,Relatively New,2802.0,2225.0,,0,0,1,0,0,2,159
sector 3,house,independent,0.8,8155.0,981.0,Plot area 109(91.14 sq.m.),5.0,4.0,1.0,2.0,,Moderately Old,,981.0,,0,0,0,0,0,0,0
sector 90,flat,dlf new town heights,1.9,6967.0,2727.14,Super Built up area 2727(253.35 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4.0,4.0,3+,19.0,North-East,Relatively New,2727.0,,2300.0,0,0,1,1,0,2,174
sohna road,flat,mvn athens,0.24,7056.0,340.14,Carpet area: 340.09 (31.6 sq.m.),1.0,1.0,1,12.0,West,Relatively New,,,340.0,0,0,0,0,0,0,66
sector 104,flat,zara aavaas,0.49,6577.0,745.02,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2,7.0,,Under Construction,745.0,,645.0,0,0,0,0,0,0,74
