sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 81,flat,bestech park view ananda,1.15,6927.0,1660.17,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3.0,2.0,3+,12.0,East,Relatively New,1660.0,,1082.0,0,0,0,0,0,0,101,553.39
sector 50,house,unitech aspen greens,7.0,32407.0,2160.0,Plot area 240(200.67 sq.m.),4.0,4.0,2.0,2.0,East,Old Property,,2160.0,,0,0,1,0,0,0,29,540.0
sector 61,flat,smart world orchard,2.2,14202.0,1549.08,Carpet area: 1549 (143.91 sq.m.),3.0,3.0,2,4.0,North,New Property,,,1549.0,0,0,0,0,0,0,152,516.36
sector 65,flat,emaar emerald hills,1.95,13928.0,1400.06,Carpet area: 1400 (130.06 sq.m.),3.0,3.0,3+,1.0,North-East,New Property,,,1400.0,0,0,0,1,0,2,117,466.68666666666667
sector 67,flat,m3m one key resiments,0.8,13115.0,609.99,Built Up area: 610 (56.67 sq.m.),1.0,1.0,0,0.0,,Undefined,,610.0,,0,0,0,0,0,0,0,609.99
sector 90,flat,dlf regal gardens,1.23,7052.0,1744.19,Super Built up area 1744(162.02 sq.m.),3.0,3.0,2,19.0,North,Relatively New,1744.0,,,1,0,0,0,0,0,6,581.3966666666666
sector 68,flat,m3m ikonic,1.78,9128.0,1950.04,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3.0,3.0,3+,27.0,South,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,2,126,650.0133333333333
sector 103,flat,landmark the residency,0.9,6666.0,1350.14,Super Built up area 1350(125.42 sq.m.),2.0,2.0,2,1.0,South-West,Relatively New,1350.0,,,0,0,0,0,0,0,44,675.07
sector 85,flat,ss the leaf,1.25,7179.0,1741.19,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),2.0,2.0,3,10.0,South-East,Relatively New,1741.0,1730.0,1720.0,0,0,0,0,0,0,49,870.595
sector 4,flat,shri ram apartments,0.36,3789.0,950.12,Carpet area: 950 (88.26 sq.m.),2.0,2.0,1,4.0,,Relatively New,,,950.0,0,0,0,0,0,0,0,475.06
