sector,property_type,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 49,flat,2.45,2061.08,3.0,3.0,3,0.0,Relatively New,1865.0,0,0,0,0,1,0,49,687.0266666666666
sector 109,house,6.1,2430.0,5.0,6.0,3+,2.0,Moderately Old,2430.0,0,0,1,0,0,0,30,486.0
sector 1,flat,1.65,2800.41,4.0,3.0,3,8.0,New Property,3111.0,0,0,1,0,0,0,20,700.1025
sector 7,house,0.66,550.0,3.0,1.0,1.0,3.0,Relatively New,550.0,1,0,0,0,0,0,22,183.33333333333337
sector 37d,flat,1.4,1811.13,3.0,3.0,3,5.0,Relatively New,1711.0,0,0,0,0,0,2,149,603.71
sector 106,flat,0.92,1385.12,2.0,2.0,3+,2.0,Relatively New,940.0,0,0,0,0,0,0,174,692.56
sector 102,flat,1.6,1367.52,2.0,2.0,3,14.0,Moderately Old,1368.0,0,0,0,0,0,0,0,683.76
sector 80,flat,1.6,2285.71,3.0,3.0,3,5.0,Moderately Old,2047.0,0,0,1,0,0,0,53,761.9033333333333
sector 78,flat,0.75,1239.06,2.0,2.0,1,5.0,Moderately Old,1239.0,0,0,0,0,0,0,0,619.53
sector 86,flat,1.58,1929.18,3.0,3.0,1,16.0,Relatively New,1750.0,0,1,0,0,0,2,152,643.0600000000001
sector 3,house,0.4,500.0,2.0,1.0,0,1.0,Old Property,500.0,0,0,0,0,0,0,0,250.0
sector 113,flat,2.4,2217.09,3.0,4.0,3+,5.0,Relatively New,1940.0,0,0,1,0,0,0,49,739.0300000000001
sector 49,house,4.4,2880.0,6.0,6.0,3.0,3.0,Moderately Old,2880.0,0,1,1,1,1,1,110,480.0
sector 67,flat,3.32,2635.13,4.0,5.0,3+,12.0,Moderately Old,2385.0,0,0,1,0,0,2,174,658.7825
sector 95,flat,0.28,767.12,2.0,2.0,2,5.0,New Property,694.0,1,0,0,0,0,0,0,383.56
sector 104,flat,2.65,3150.26,4.0,4.0,3+,10.0,Relatively New,2851.0,0,0,1,0,0,0,174,787.565
sector 88a,flat,1.5,1850.02,3.0,3.0,3+,11.0,New Property,1674.0,0,0,0,0,0,0,39,616.6733333333333
sector 102,flat,1.95,1852.03,3.0,3.0,3,10.0,Relatively New,1676.0,0,0,0,0,0,0,59,617.3433333333334
sector 106,flat,1.13,1763.97,3.0,4.0,3+,18.0,Relatively New,1186.0,0,0,1,0,1,0,49,587.99
sector 79,flat,0.95,1530.04,2.0,2.0,3,7.0,New Property,1385.0,0,0,0,0,1,0,49,765.02
sector 111,flat,2.65,1950.11,3.0,4.0,2,7.0,Relatively New,2086.0,0,0,1,0,0,2,159,650.0366666666666
sushant lok,house,2.5,8667.0,7.0,7.0,3.0,4.0,Relatively New,963.0,1,0,0,0,0,2,20,1238.142857142857
sector 23,house,2.7,1450.1,5.0,5.0,2.0,3.0,Old Property,1450.1,0,0,0,0,0,2,17,290.02
sector 37c,flat,1.05,1400.0,3.0,3.0,3,4.0,New Property,1500.0,0,0,0,0,0,2,5,466.6666666666667
sector 102,flat,0.96,915.07,2.0,2.0,2,10.0,Relatively New,828.0,0,0,0,0,0,0,132,457.535
sector 48,flat,5.0,4300.34,3.0,4.0,3,14.0,Moderately Old,4778.0,0,0,0,0,0,0,82,1433.4466666666667
sector 79,flat,1.29,1572.02,2.0,2.0,3,4.0,New Property,1423.0,0,0,0,0,0,0,0,786.01
sector 89,flat,1.28,1450.1,3.0,3.0,2,4.0,Under Construction,1611.0,0,0,0,0,1,0,114,483.3666666666666
sector 104,flat,1.8,2290.08,3.0,4.0,3,14.0,New Property,2544.0,0,0,0,0,0,0,60,763.36
sector 92,flat,1.6,2120.05,3.0,3.0,3,10.0,Relatively New,1765.0,0,0,1,0,0,2,60,706.6833333333334
sector 102,flat,2.15,2310.34,3.0,4.0,3,13.0,Relatively New,1945.0,0,0,1,0,1,0,101,770.1133333333333
sector 63,flat,3.25,1100.02,3.0,3.0,3,4.0,New Property,2700.0,1,0,0,0,0,0,41,366.67333333333335
sector 86,flat,1.3,2786.11,4.0,6.0,2,11.0,New Property,2521.0,1,0,1,0,0,0,86,696.5275
sector 92,flat,0.75,1600.17,3.0,4.0,3,2.0,Moderately Old,1778.0,0,0,0,0,1,0,113,533.39
sector 107,flat,1.4,2361.28,3.0,4.0,0,1.0,New Property,2137.0,0,0,0,0,0,0,67,787.0933333333334
sector 70,flat,1.75,2132.85,3.0,5.0,3,7.0,New Property,1527.0,0,1,1,0,0,0,37,710.9499999999999
sector 68,flat,1.8,1950.16,3.0,3.0,3+,18.0,Relatively New,1845.0,0,0,0,0,0,2,126,650.0533333333334
sector 65,flat,3.0,1828.04,3.0,3.0,3,17.0,Under Construction,1828.04,0,0,0,0,0,0,99,609.3466666666667
sector 52,flat,1.4,2300.36,3.0,3.0,3+,8.0,Relatively New,2556.0,0,0,0,0,0,2,80,766.7866666666667
sector 78,flat,0.88,1854.19,3.0,4.0,3,8.0,Moderately Old,1668.0,0,1,1,0,0,0,111,618.0633333333334
sector 102,flat,2.12,1250.0,3.0,3.0,3,9.0,Relatively New,1852.0,0,0,0,0,0,0,72,416.6666666666667
sector 52,house,8.0,3132.0,6.0,5.0,3+,4.0,New Property,3132.0,0,0,0,0,0,0,0,522.0
sector 51,flat,0.3,648.0,1.0,1.0,0,0.0,Moderately Old,80.0,0,0,0,0,1,0,15,648.0
sector 112,flat,2.8,2441.15,2.0,3.0,2,9.0,Relatively New,2441.15,0,0,1,0,1,0,137,1220.575
sector 65,flat,2.78,1828.95,3.0,3.0,3,44.0,Relatively New,1828.95,0,0,0,0,0,0,56,609.65
sohna road,flat,0.48,1099.15,2.0,2.0,2,11.0,Under Construction,995.0,0,0,0,0,0,0,45,549.575
sector 102,flat,1.1,903.05,2.0,2.0,1,8.0,Under Construction,817.0,0,0,0,0,0,0,105,451.525
sector 113,flat,2.45,2271.46,3.0,3.0,3,8.0,Relatively New,2014.0,0,0,0,0,0,0,110,757.1533333333333
sector 99a,flat,1.08,1630.19,3.0,5.0,3,2.0,Relatively New,1750.0,1,0,1,0,0,0,49,543.3966666666666
sector 81,flat,0.88,1094.26,2.0,2.0,3,8.0,Relatively New,1223.0,0,0,0,0,1,2,95,547.13
sector 85,flat,1.98,2408.17,3.0,4.0,3,6.0,Relatively New,2300.0,0,0,0,0,0,0,42,802.7233333333334
sushant lok,house,10.5,3762.0,4.0,4.0,2.0,2.0,Old Property,3762.0,0,0,1,0,0,0,59,940.5
sector 22,flat,4.1,1459.02,3.0,3.0,3+,2.0,New Property,2069.0,0,0,0,0,0,1,119,486.34
sector 60,flat,2.15,921.01,2.0,3.0,2,5.0,Relatively New,1250.0,0,0,1,0,0,2,49,460.505
sector 80,flat,1.1,1928.13,3.0,3.0,3,8.0,Moderately Old,1580.0,0,0,1,0,0,0,111,642.71
sector 104,flat,2.0,2290.16,3.0,4.0,3+,4.0,Relatively New,2072.0,0,0,1,0,0,0,60,763.3866666666667
sector 54,flat,4.85,1875.05,3.0,4.0,3+,25.0,Relatively New,1875.05,0,0,1,0,0,2,26,625.0166666666667
