sector,property_type,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 67,flat,4.0,4.0,2854.0,Yes,No,High
sector 106,flat,3.0,4.0,1305.0,Yes,Yes,Low
sohna road,flat,2.0,2.0,1105.0,No,No,Medium
sector 81,flat,3.0,4.0,1893.0,Yes,No,High
sector 86,flat,3.0,3.0,1548.0,No,No,High
sohna road,flat,2.0,2.0,822.0,No,No,Medium
sector 83,flat,2.0,2.0,1300.0,No,No,Medium
sector 105,house,3.0,2.0,1200.0,No,No,Low
sector 104,flat,3.0,3.0,2072.0,Yes,No,High
sector 55,flat,4.0,3.0,2000.0,No,No,Low
sohna road,flat,2.0,2.0,1154.0,No,No,High
sector 66,house,4.0,4.0,3240.0,Yes,Yes,High
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 107,flat,2.0,2.0,608.0,No,No,Low
sector 81,flat,3.0,4.0,2407.0,Yes,Yes,High
sushant lok,house,3.0,3.0,1650.1,No,No,Medium
sector 70,flat,3.0,4.0,1586.0,Yes,No,High
sector 8,house,2.0,3.0,3240.0,No,No,Low
dlf phase,house,7.0,9.0,11111.0,Yes,Yes,Medium
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 83,flat,3.0,2.0,1600.0,No,No,Medium
sector 28,house,2.0,6.0,1350.0,No,No,Low
sector 37c,flat,2.0,2.0,1430.0,No,No,Medium
sector 81,flat,3.0,3.0,1438.0,No,No,Medium
surat nagar,flat,1.0,2.0,334.0,No,No,Medium
sector 81,flat,2.0,2.0,1231.0,No,No,Medium
sector 77,flat,3.0,3.0,1310.0,No,No,Medium
sector 3,house,3.0,1.0,1008.0,No,No,Low
sector 68,flat,2.0,2.0,938.0,No,No,Low
sector 22,flat,2.0,2.0,1249.0,No,No,Medium
sector 14,house,6.0,6.0,3150.1,No,No,Low
sector 85,flat,2.0,3.0,1420.0,No,No,High
sector 4,house,2.0,1.0,4635.0,No,No,Low
sector 81,flat,3.0,3.0,1617.0,Yes,Yes,Low
sector 106,flat,3.0,4.0,1186.0,Yes,No,High
sushant lok,house,1.0,1.0,1650.0,No,No,Low
sector 85,flat,2.0,2.0,102.0,No,No,Low
sector 81,flat,3.0,3.0,1800.0,Yes,No,High
sector 99a,flat,2.0,2.0,473.0,No,No,Medium
sushant lok,house,6.0,7.0,11286.0,Yes,Yes,Low
sohna road,flat,2.0,2.0,789.0,No,No,Low
sector 112,house,4.0,6.0,6382.0,Yes,No,Medium
sector 61,flat,3.0,4.0,2250.0,Yes,No,Medium
sector 111,flat,4.0,5.0,2670.0,Yes,No,Medium
sector 72,flat,3.0,4.0,2185.09,Yes,No,Low
sector 69,flat,4.0,5.0,2856.0,Yes,No,Low
sector 55,house,2.0,9.0,1125.0,No,No,Low
sector 89,flat,3.0,3.0,1480.0,No,No,Medium
sector 90,flat,4.0,4.0,2468.0,No,No,Medium
sector 65,flat,3.0,3.0,1262.0,Yes,No,High
sector 90,flat,2.0,2.0,767.0,No,No,Low
sector 56,house,5.0,6.0,1512.0,No,No,Low
sector 80,flat,3.0,4.0,1854.0,No,No,Medium
sector 108,flat,2.0,3.0,978.0,Yes,Yes,Low
sector 65,flat,3.0,3.0,2696.0,Yes,Yes,Medium
sector 102,flat,3.0,3.0,1493.0,Yes,No,High
sector 90,flat,4.0,3.0,2461.0,No,No,Medium
sector 92,flat,4.0,5.0,1692.0,Yes,No,Medium
sector 67a,flat,2.0,2.0,1149.0,No,Yes,Medium
sector 82a,flat,3.0,3.0,1545.0,Yes,No,High
sector 102,flat,3.0,3.0,1314.0,Yes,No,Medium
sector 81,flat,2.0,2.0,586.0,No,No,Low
sector 7,house,2.0,4.0,1072.0,No,No,Low
sohna road,flat,2.0,2.0,916.0,No,No,Medium
sector 67a,flat,4.0,4.0,2556.0,No,No,Low
sector 92,flat,2.0,2.0,1000.0,No,No,Low
sector 54,flat,3.0,3.0,1381.99,No,No,Low
sector 99a,flat,4.0,5.0,2150.0,Yes,No,Low
sector 107,flat,2.0,2.0,1281.0,No,Yes,Low
sector 108,flat,2.0,3.0,1283.0,No,Yes,Medium
sector 109,flat,3.0,3.0,1896.0,Yes,No,Medium
sector 67,flat,3.0,4.0,1751.0,Yes,No,High
sector 84,flat,2.0,2.0,1361.0,No,Yes,Low
sector 92,house,4.0,5.0,2360.0,No,No,Low
sector 70a,house,3.0,2.0,667.0,No,No,Low
sector 49,flat,1.0,2.0,746.0,No,No,Low
sector 1a,flat,4.0,5.0,2135.0,Yes,No,Low
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 90,flat,3.0,3.0,1817.0,Yes,No,High
gwal pahari,flat,4.0,4.0,4842.0,Yes,Yes,High
sector 77,flat,4.0,3.0,1765.0,Yes,No,Medium
sector 82,flat,2.0,2.0,1202.0,No,Yes,Medium
sohna road road,house,2.0,4.0,725.0,No,No,Low
sector 67a,flat,4.0,4.0,1991.0,No,No,Medium
sector 92,flat,3.0,4.0,1804.0,Yes,No,High
sector 79,flat,3.0,4.0,2629.0,Yes,No,High
sector 33,flat,4.0,4.0,2371.0,Yes,No,Low
sector 104,flat,3.0,3.0,1529.0,No,No,Low
sector 90,flat,4.0,4.0,2726.0,Yes,No,Medium
sector 105,flat,3.0,2.0,1056.0,No,No,Low
sector 70a,flat,2.0,2.0,930.0,No,No,Medium
sector 104,flat,3.0,4.0,2131.0,Yes,No,Medium
sector 48,flat,3.0,4.0,1951.0,No,Yes,Medium
sector 71,flat,4.0,4.0,2127.0,Yes,No,Medium
sector 99a,flat,3.0,5.0,1807.0,Yes,No,Low
sector 23,house,4.0,4.0,2500.0,Yes,No,Low
sector 108,flat,2.0,3.0,1161.0,No,No,Medium
sohna road,flat,3.0,2.0,1319.0,No,No,Medium
sector 12,house,1.0,1.0,1800.0,Yes,No,Low
sector 102,flat,3.0,4.0,2334.0,Yes,Yes,Medium
sector 70a,house,4.0,5.0,2610.0,Yes,Yes,Medium
sector 113,flat,4.0,4.0,2553.0,Yes,Yes,Low
sector 95,flat,3.0,2.0,811.0,No,Yes,Medium
sector 83,flat,3.0,3.0,1600.0,Yes,No,High
sector 49,flat,3.0,3.0,1633.0,No,No,Medium
sector 108,flat,3.0,4.0,2003.04,No,No,Medium
sector 12,house,3.0,3.0,567.0,No,No,Low
sector 86,flat,2.0,2.0,1339.0,No,Yes,Low
sector 111,house,5.0,5.0,8000.0,Yes,No,Medium
sector 54,house,4.0,4.0,2430.0,No,No,Low
