sector,property_type,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 66,flat,3.0,4.0,2200.11,Yes,No,Medium
sector 92,flat,3.0,3.0,833.0,No,No,Low
sector 37c,flat,3.0,3.0,1629.0,No,No,Medium
sector 104,flat,2.0,2.0,877.0,No,No,Low
sector 90,flat,4.0,4.0,2000.0,No,No,Medium
sector 92,flat,2.0,2.0,657.0,No,Yes,Low
sector 107,flat,3.0,2.0,717.0,No,No,Low
sector 70a,flat,2.0,2.0,1416.0,No,No,Medium
sector 91,flat,4.0,4.0,2139.0,Yes,No,Medium
sector 109,flat,4.0,1.0,3008.0,No,No,Low
c block,house,3.0,9.0,1935.0,Yes,No,Medium
sector 107,flat,3.0,4.0,1900.0,Yes,No,Medium
sector 67a,flat,2.0,2.0,1500.0,No,No,Low
sector 37c,flat,2.0,2.0,1179.0,No,No,Medium
sector 59,flat,3.0,4.0,3361.0,Yes,No,Low
sector 14,house,5.0,5.0,2500.0,No,No,Low
sector 50,flat,4.0,3.0,10000.0,Yes,No,Low
sector 49,flat,3.0,4.0,2251.49,Yes,No,Medium
sector 12,house,1.0,4.0,360.0,No,No,Low
sector 8,house,3.0,1.0,550.0,No,No,Low
sector 70a,flat,3.0,3.0,1300.0,No,No,Low
sector 79,flat,2.0,2.0,1295.0,No,No,Low
sector 12,house,4.0,4.0,1700.0,No,No,Low
sector 9a,flat,3.0,3.0,1722.0,No,No,Medium
sector 84,flat,2.0,2.0,537.0,No,No,Medium
sector 107,flat,2.0,2.0,614.0,No,No,Low
sector 79,flat,2.0,2.0,81.0,No,No,Medium
sector 83,flat,3.0,3.0,1575.0,No,No,High
sector 33,flat,2.0,2.0,84.0,No,No,Medium
sector 77,flat,3.0,3.0,1451.0,No,No,Medium
sector 66,flat,3.0,3.0,2125.0,Yes,No,Medium
sector 67,flat,4.0,4.0,3160.0,Yes,No,Low
sector 104,flat,3.0,4.0,2000.0,Yes,No,Medium
sector 84,flat,2.0,2.0,1086.0,No,No,Medium
sector 52,flat,1.0,1.0,278.0,No,No,Low
sector 77,flat,3.0,3.0,1822.0,No,No,Low
sector 70,flat,2.0,2.0,1444.0,No,No,Medium
sector 81,flat,3.0,4.0,2481.0,Yes,No,High
sector 85,flat,4.0,5.0,2390.0,Yes,No,High
sector 13,house,4.0,5.0,4950.0,No,No,Low
sector 86,flat,3.0,3.0,1500.0,No,No,High
valley view,flat,2.0,2.0,1028.0,No,No,Low
sector 12,house,3.0,3.0,200.0,No,No,Low
sector 74,flat,2.0,2.0,1556.0,No,No,Low
sector 71,flat,4.0,4.0,1985.0,Yes,No,Medium
sector 99a,flat,2.0,2.0,606.0,No,No,Medium
sector 79,flat,2.0,2.0,1280.0,No,No,Medium
sector 89,flat,2.0,2.0,1226.0,Yes,Yes,Low
sector 8,house,4.0,6.0,558.0,No,No,Low
sector 85,flat,4.0,5.0,2017.0,Yes,No,Low
sector 14,flat,5.0,5.0,2556.0,No,Yes,Medium
sector 62,flat,2.0,2.0,1500.0,No,No,Low
new gurgaon,flat,2.0,2.0,767.0,No,No,Low
sector 89,flat,2.0,2.0,1103.0,No,Yes,Low
sector 81,flat,3.0,4.0,2511.0,Yes,No,Medium
sector 102,flat,3.0,3.0,1493.0,Yes,No,High
sector 99,flat,4.0,4.0,3225.0,No,No,Low
sector 1a,flat,3.0,4.0,1670.0,Yes,No,Low
sector 109,flat,3.0,4.0,1860.0,Yes,Yes,Low
sector 5,house,2.0,4.0,945.0,No,No,Low
sector 107,flat,2.0,2.0,1236.0,No,No,Medium
sector 99a,flat,2.0,2.0,600.0,No,No,Low
dwarka expressway,flat,3.0,3.0,1357.0,No,No,Low
sector 78,flat,3.0,3.0,2045.0,No,No,Low
sector 74,flat,3.0,3.0,2018.09,No,No,Medium
sector 37c,flat,2.0,3.0,1300.0,No,Yes,Medium
sector 3,flat,2.0,2.0,600.0,No,No,Medium
sector 66,flat,3.0,4.0,2200.0,No,No,Low
sushant lok,house,4.0,4.0,540.0,No,No,Low
sector 112,flat,4.0,5.0,3655.0,Yes,No,High
sector 9,house,2.0,2.0,360.0,No,No,Low
sector 50,house,4.0,4.0,4500.0,Yes,No,Medium
sector 7,flat,3.0,2.0,1100.0,No,No,Medium
surat nagar,house,1.0,4.0,1667.0,No,No,Low
sector 92,house,4.0,4.0,1743.0,No,No,Low
sector 2,house,5.0,6.0,2430.0,No,Yes,Low
sector 89,flat,2.0,2.0,1233.0,No,Yes,Medium
sector 70,flat,3.0,5.0,1527.0,Yes,No,Medium
sector 79,flat,3.0,3.0,2167.0,No,No,Medium
sector 65,flat,2.0,2.0,1456.0,No,No,Medium
sector 37c,flat,3.0,3.0,1500.0,No,No,Medium
sector 70a,flat,3.0,4.0,2127.0,Yes,No,High
sector 74,flat,2.0,2.0,1281.0,No,No,Low
sector 90,flat,2.0,2.0,1050.0,No,Yes,Medium
sector 65,flat,2.0,2.0,1592.0,No,Yes,Low
sector 84,flat,2.0,2.0,1026.0,No,Yes,High
sector 81,flat,4.0,4.0,3512.0,Yes,No,Medium
sohna road,flat,2.0,2.0,590.0,No,No,Medium
sohna road,flat,2.0,2.0,616.0,No,No,Low
sector 92,flat,3.0,2.0,1175.0,No,No,Low
sector 85,flat,2.0,3.0,1576.0,No,No,Medium
sector 37d,flat,4.0,3.0,1808.0,No,No,Low
sector 65,flat,3.0,5.0,4271.0,Yes,No,Low
sohna road,flat,3.0,3.0,1600.0,No,No,High
sector 9,house,9.0,9.0,2628.0,No,No,Medium
sohna road,flat,1.0,1.0,438.0,No,No,Low
sector 10a,house,2.0,1.0,900.0,No,No,Low
sector 65,flat,2.0,2.0,812.0,No,Yes,Medium
sector 107,flat,2.0,2.0,1236.0,No,No,Medium
sector 84,flat,3.0,3.0,1561.0,No,Yes,Medium
new palam,house,2.0,2.0,270.0,No,No,Low
sector 6,house,2.0,4.0,713.0,No,No,Medium
sector 9a,house,9.0,9.0,3149.9,No,Yes,Low
sector 2,house,5.0,5.0,4550.0,No,No,Medium
sector 70a,flat,2.0,2.0,1180.0,No,No,Medium
sector 92,flat,3.0,4.0,1615.0,Yes,No,High
sector 37d,flat,4.0,3.0,2100.0,No,No,Medium
sector 95,flat,2.0,2.0,695.0,No,No,Low
sector 104,flat,3.0,4.0,2359.0,Yes,No,High
sector 4,house,5.0,4.0,146.0,No,No,Low
sector 103,flat,3.0,3.0,1500.0,No,No,Medium
sector 95,flat,2.0,2.0,758.0,No,No,Low
sector 37d,flat,3.0,3.0,1250.0,No,No,Low
sector 83,flat,3.0,3.0,1500.0,No,No,Medium
sector 56,flat,3.0,3.0,1900.0,Yes,No,Medium
sector 66,house,5.0,6.0,4500.0,Yes,Yes,High
sohna road,flat,2.0,2.0,1000.0,No,No,Low
sector 2,flat,3.0,3.0,1911.0,No,No,Low
sector 84,flat,3.0,3.0,1584.0,No,No,Medium
dlf phase,house,4.0,4.0,4500.0,Yes,No,Low
sector 2,flat,3.0,3.0,1611.0,No,No,Medium
sector 109,house,7.0,5.0,4500.0,Yes,Yes,Low
sector 85,flat,2.0,2.0,1300.0,No,No,High
sector 69,flat,3.0,3.0,1492.0,No,No,High
sector 69,flat,4.0,3.0,1826.0,No,No,Low
sector 65,flat,3.0,3.0,1650.07,Yes,No,Medium
sector 70a,flat,2.0,2.0,1402.0,No,No,Low
sector 83,flat,2.0,2.0,1300.0,No,No,Medium
dlf phase,house,4.0,4.0,2430.0,Yes,No,Medium
sector 7,flat,3.0,2.0,889.0,No,No,Low
sector 61,flat,2.0,2.0,1278.0,No,No,Low
sector 109,flat,3.0,4.0,1860.0,Yes,No,High
sector 105,house,2.0,2.0,450.0,No,No,Low
sector 77,flat,2.0,2.0,1489.0,No,No,Medium
sector 66,house,5.0,6.0,3150.0,Yes,No,Low
sector 83,flat,3.0,3.0,1700.0,Yes,No,Medium
new palam,house,2.0,4.0,1341.0,No,Yes,Low
sector 79,flat,3.0,3.0,1212.0,No,No,Medium
sector 2,flat,2.0,2.0,1281.0,No,No,Medium
sushant lok,flat,2.0,2.0,950.0,No,No,Medium
sector 70,flat,4.0,5.0,2172.0,Yes,No,Low
sector 37d,flat,3.0,2.0,1376.0,No,No,Low
sector 86,flat,3.0,3.0,1719.0,No,No,Low
sector 109,flat,3.0,2.0,1701.0,No,No,High
b block,house,5.0,6.0,5490.0,Yes,Yes,Medium
sector 90,flat,4.0,4.0,2139.0,Yes,No,Medium
sector 49,house,5.0,4.0,3420.0,Yes,Yes,Medium
sector 106,flat,4.0,6.0,2131.0,Yes,No,Medium
sector 99a,flat,2.0,2.0,1390.0,No,Yes,Low
sector 83,flat,3.0,3.0,1778.0,Yes,No,Low
sector 99,flat,2.0,2.0,733.0,No,No,Medium
sector 22,flat,3.0,3.0,1860.09,No,No,Medium
sector 102,flat,3.0,3.0,1531.0,No,No,Low
sector 95,flat,3.0,3.0,2000.0,No,No,Medium
sector 79,flat,2.0,2.0,1494.0,No,Yes,Medium
sector 107,flat,1.0,1.0,318.0,No,No,Medium
sector 65,flat,3.0,3.0,1654.0,No,No,Low
sector 112,flat,4.0,5.0,4800.0,No,No,Medium
sector 39,house,1.0,1.0,800.0,No,No,Low
sector 99,flat,2.0,1.0,652.0,No,No,Low
dlf phase,flat,2.0,2.0,1109.0,No,No,Low
sector 71,flat,3.0,3.0,1958.0,No,No,Medium
sector 95,flat,1.0,1.0,308.0,No,No,Low
sector 104,flat,4.0,4.0,2303.0,Yes,No,Low
sector 106,flat,2.0,2.0,1120.0,No,No,Low
sector 37d,flat,3.0,3.0,1000.0,No,No,Medium
sector 112,flat,3.0,3.0,2225.0,Yes,No,High
sector 3,house,2.0,4.0,981.0,No,No,Low
sector 90,flat,4.0,4.0,2512.0,Yes,No,High
sohna road,flat,1.0,1.0,378.0,No,No,Medium
sector 104,flat,3.0,2.0,695.0,No,No,Medium
sector 56,flat,1.0,1.0,667.0,No,No,Low
sector 68,flat,2.0,2.0,1180.0,No,No,Low
sector 33,house,6.0,7.0,4950.0,Yes,Yes,Medium
sector 107,flat,3.0,2.0,750.0,No,No,Medium
sector 82,flat,2.0,2.0,1299.0,No,Yes,Medium
sector 107,flat,2.0,2.0,598.0,No,No,Low
sector 82,flat,2.0,2.0,1150.0,No,No,Medium
sector 11,house,5.0,3.0,1300.0,No,No,Low
sector 65,flat,3.0,4.0,3355.0,No,No,Low
sector 63a,flat,2.0,2.0,1167.0,No,No,Low
sector 68,flat,2.0,2.0,1150.0,No,No,Medium
sector 39,house,1.0,1.0,450.0,No,No,Low
sector 85,flat,4.0,5.0,2545.0,No,No,Medium
sector 107,flat,2.0,2.0,608.0,No,No,Low
sector 70a,flat,3.0,4.0,2127.0,Yes,No,High
sector 82,flat,2.0,2.0,1294.0,No,Yes,Medium
sector 109,flat,3.0,2.0,1213.0,No,No,Low
sector 67,flat,4.0,4.0,2127.0,Yes,No,Medium
sector 109,flat,3.0,4.0,1946.0,Yes,No,Medium
sector 77,flat,3.0,3.0,1735.0,No,No,Low
sector 67,flat,2.0,2.0,889.0,No,No,Medium
sector 99a,flat,3.0,5.0,1807.0,Yes,No,Medium
sector 108,flat,3.0,3.0,1480.0,No,No,High
sector 37d,flat,3.0,3.0,1163.0,No,No,Low
sector 84,flat,3.0,3.0,1561.0,No,No,Medium
sector 85,flat,4.0,6.0,3920.0,Yes,No,High
sector 99a,flat,2.0,2.0,611.0,No,No,Medium
sector 66,flat,3.0,3.0,1800.08,Yes,Yes,Medium
sector 90,flat,3.0,4.0,1765.0,Yes,No,High
sector 1a,flat,3.0,3.0,2070.0,Yes,No,Low
sector 37d,flat,2.0,2.0,610.0,No,No,Medium
sector 90,flat,2.0,2.0,1176.0,No,Yes,Medium
sector 28,house,4.0,2.0,1458.0,No,No,Low
sector 33,flat,2.0,2.0,724.0,No,No,Low
sector 4,flat,2.0,2.0,1000.0,No,No,Medium
sector 65,flat,3.0,3.0,1524.0,Yes,Yes,Medium
sector 69,flat,3.0,3.0,1482.0,No,No,High
sector 92,flat,4.0,4.0,1734.0,No,No,Medium
sector 103,flat,3.0,4.0,1734.0,Yes,No,Low
sector 83,flat,3.0,2.0,1500.0,No,No,Medium
sohna road,flat,2.0,2.0,750.0,No,No,Low
sector 51,flat,2.0,2.0,1007.0,No,No,Low
sector 86,flat,2.0,2.0,1231.0,No,No,Low
sector 54,flat,3.0,3.0,2558.0,No,No,Medium
sector 77,flat,2.0,2.0,1057.0,No,Yes,Medium
sector 49,flat,5.0,5.0,3724.0,Yes,Yes,Low
sector 37c,flat,3.0,3.0,1400.0,No,No,Low
sector 14,house,3.0,3.0,2250.0,No,No,Low
sector 88a,flat,3.0,3.0,1652.0,No,No,Medium
sohna road,flat,2.0,2.0,1275.0,No,No,Low
sector 92,flat,4.0,5.0,1805.0,Yes,No,Low
sector 78,flat,3.0,3.0,2176.0,Yes,No,Medium
sector 48,house,6.0,5.0,6000.0,No,No,Medium
sector 76,flat,3.0,3.0,1672.0,No,No,Medium
sector 92,flat,4.0,3.0,1778.0,No,No,Low
sector 84,flat,2.0,2.0,531.0,No,No,Medium
sector 37d,house,3.0,3.0,1570.0,No,No,Medium
sector 85,flat,4.0,4.0,2600.0,No,No,Low
sector 85,flat,2.0,2.0,1484.0,No,No,Medium
sector 60,flat,3.0,3.0,2400.0,Yes,No,High
sector 70a,house,3.0,3.0,1611.0,No,No,High
sector 110,flat,4.0,5.0,3032.0,Yes,No,Medium
sector 54,flat,3.0,3.0,2250.0,No,Yes,Medium
sector 3,house,1.0,1.0,1500.0,No,No,Low
sector 22,flat,4.0,6.0,2778.0,Yes,No,Low
sector 33,flat,2.0,2.0,1492.0,No,No,Medium
sector 79,flat,3.0,3.0,2161.0,No,No,Low
golf course,flat,4.0,4.0,2500.0,No,No,Medium
sushant lok,house,3.0,3.0,1620.0,Yes,Yes,Medium
sector 67a,flat,2.0,2.0,1296.0,No,No,Medium
sector 113,flat,3.0,3.0,2281.0,No,No,Low
sector 81,flat,3.0,4.0,1825.0,Yes,No,Medium
sector 107,flat,4.0,5.0,2505.0,Yes,No,Medium
sector 56,flat,3.0,3.0,1719.0,No,No,Medium
sector 84,flat,3.0,3.0,1710.0,No,No,Medium
sector 36a,flat,2.0,2.0,1479.0,No,No,Medium
sector 99a,flat,3.0,3.0,1997.0,No,No,Low
sector 61,flat,4.0,4.0,2580.0,Yes,No,Medium
sector 48,flat,4.0,4.0,2134.0,Yes,Yes,High
sector 102,flat,3.0,3.0,1314.0,Yes,No,Medium
sector 2,house,3.0,3.0,1557.0,No,Yes,Low
sector 37d,flat,3.0,3.0,1389.0,No,No,Low
sector 85,flat,3.0,4.0,2399.0,No,No,High
sector 99a,flat,2.0,2.0,1430.0,No,Yes,High
sohna road,flat,2.0,2.0,743.0,No,No,Low
sector 104,flat,3.0,4.0,2061.0,Yes,Yes,Medium
sector 109,flat,4.0,4.0,2380.0,Yes,No,Medium
sector 67,house,5.0,3.0,200.0,No,No,Low
sector 104,flat,3.0,4.0,2036.0,Yes,Yes,Low
sector 65,flat,2.0,2.0,1141.0,No,No,Low
sector 104,flat,4.0,5.0,2991.0,Yes,Yes,Medium
sector 106,flat,2.0,2.0,1120.0,No,No,High
sector 36,flat,2.0,2.0,590.0,No,No,Low
dlf phase,house,9.0,9.0,2844.0,No,No,Medium
sector 31,house,5.0,5.0,1620.0,No,No,Medium
sector 2,flat,1.0,1.0,723.0,No,No,Medium
sector 86,flat,2.0,2.0,1231.0,No,No,Medium
mehrauli gurgaon,flat,3.0,4.0,1956.0,No,No,Low
sector 12,house,2.0,5.0,2052.0,No,No,Low
sector 39,house,5.0,5.0,3659.7,No,No,Low
sector 1,flat,3.0,2.0,1277.0,No,No,Medium
sector 83,flat,3.0,3.0,1570.0,No,No,Medium
sector 22,flat,3.0,5.0,2796.0,Yes,No,Medium
sector 110,flat,3.0,3.0,1850.0,Yes,No,Medium
sector 67,flat,3.0,4.0,2016.0,Yes,No,High
sector 113,flat,3.0,4.0,2217.0,Yes,No,Low
sector 113,flat,3.0,4.0,1930.0,Yes,No,High
sector 37d,flat,3.0,3.0,1983.0,No,Yes,Low
sector 70a,flat,4.0,3.0,2111.0,No,No,Medium
sector 107,flat,2.0,2.0,622.0,No,No,Low
sector 33,flat,3.0,3.0,2143.0,Yes,No,Medium
dlf phase,house,4.0,4.0,2700.0,Yes,Yes,Medium
sector 99a,flat,3.0,5.0,1737.0,Yes,No,Medium
sector 102,flat,3.0,3.0,2500.0,Yes,No,High
sector 69,flat,4.0,4.0,1819.0,No,No,Medium
sector 102,flat,1.0,1.0,750.0,No,No,Low
sohna road,flat,3.0,3.0,1599.0,No,No,High
sector 50,house,3.0,3.0,3231.0,Yes,Yes,Medium
sector 37c,flat,3.0,3.0,1890.0,Yes,No,Medium
sector 109,flat,3.0,3.0,1584.0,No,No,Medium
sector 92,flat,2.0,2.0,1498.0,No,No,Low
sector 74,flat,2.0,2.0,1300.0,No,No,Medium
sector 90,flat,2.0,2.0,1225.0,No,Yes,Low
sector 71,flat,1.0,1.0,450.0,No,No,Medium
sector 4,flat,2.0,2.0,722.0,No,No,Low
sector 73,flat,3.0,3.0,1622.0,Yes,No,Medium
sector 85,flat,4.0,5.0,2545.0,No,No,Medium
sector 51,flat,3.0,4.0,1773.0,No,No,Medium
sector 47,flat,1.0,1.0,599.0,No,No,Medium
new palam,flat,2.0,1.0,1000.0,No,No,Low
sector 65,house,4.0,4.0,3600.0,Yes,Yes,Medium
sector 2,flat,2.0,2.0,1573.0,No,No,Medium
sector 108,flat,4.0,5.0,2343.0,No,No,Medium
sector 69,flat,3.0,3.0,1455.0,No,No,Medium
sector 60,flat,4.0,5.0,2791.0,Yes,No,Medium
sector 67,house,4.0,4.0,2800.0,No,No,Low
sector 109,house,5.0,5.0,2250.0,Yes,No,Medium
sector 2,flat,1.0,1.0,556.0,No,No,Low
sector 76,house,2.0,2.0,745.0,No,No,Low
sector 81,flat,3.0,3.0,1800.0,Yes,No,High
sector 109,flat,3.0,3.0,2576.0,Yes,No,Medium
sector 86,flat,2.0,2.0,1339.0,No,Yes,Low
sector 82,flat,4.0,5.0,2535.0,No,No,Medium
sector 56,house,2.0,2.0,1449.0,No,No,Low
sohna road,flat,2.0,2.0,521.0,No,No,Low
sector 102,flat,2.0,2.0,1100.0,No,No,Medium
sector 88b,flat,2.0,2.0,1300.0,No,No,High
sector 49,house,3.0,3.0,1800.1,No,No,Medium
sector 92,flat,3.0,3.0,1801.0,No,No,Medium
sector 36,flat,3.0,2.0,833.0,No,No,Low
sector 102,flat,3.0,4.0,1945.0,Yes,Yes,Medium
sector 37c,flat,3.0,3.0,1643.0,Yes,No,Low
sector 67,flat,4.0,4.0,2127.0,Yes,No,Medium
sector 92,house,2.0,2.0,959.0,No,No,Low
sector 111,flat,2.0,2.0,789.0,No,No,Medium
sector 3,house,2.0,2.0,130.0,No,No,Low
sector 14,house,3.0,3.0,2250.0,No,No,Low
sector 72,flat,4.0,5.0,2800.0,Yes,No,High
sector 66,flat,3.0,4.0,2000.0,Yes,No,Medium
c block,house,4.0,4.0,1935.0,Yes,Yes,Medium
sector 21,house,5.0,5.0,120.0,No,No,Low
sector 53,flat,3.0,4.0,3222.0,Yes,No,Low
sushant lok,house,3.0,3.0,60.0,No,No,Low
sector 59,flat,3.0,3.0,2550.0,No,No,Low
sector 89,flat,3.0,3.0,1944.0,No,No,Low
sector 36,flat,3.0,2.0,1201.0,No,No,Low
sector 107,flat,3.0,4.0,2137.0,Yes,No,High
sector 7,house,2.0,3.0,524.0,No,No,Low
sector 85,flat,2.0,2.0,1638.0,No,No,High
sector 82,house,4.0,4.0,3240.0,Yes,No,Low
sector 69,flat,3.0,3.0,1291.0,No,No,Medium
sector 102,flat,3.0,3.0,1616.0,No,No,High
sector 92,flat,4.0,3.0,1770.0,No,No,Medium
sector 50,flat,3.0,3.0,1662.0,No,No,Low
sector 92,flat,3.0,3.0,1423.0,No,No,Medium
sector 107,flat,2.0,2.0,577.0,No,No,Medium
sector 99a,flat,3.0,5.0,1807.0,Yes,No,Low
sector 1,flat,3.0,3.0,1900.0,Yes,No,Low
sector 85,flat,4.0,5.0,2545.0,Yes,No,High
sector 95,flat,2.0,2.0,670.0,No,No,Medium
sector 2,flat,3.0,4.0,1738.0,Yes,No,Medium
sector 66,flat,4.0,4.0,2501.0,Yes,No,Low
sector 89,flat,3.0,2.0,1423.0,No,No,Low
sector 88a,flat,2.0,2.0,694.0,No,No,Low
sector 61,flat,2.0,2.0,1278.0,No,No,Low
sector 79,flat,3.0,3.0,1320.0,No,Yes,Medium
sector 56,house,8.0,8.0,3240.0,Yes,Yes,Low
sector 86,flat,3.0,3.0,1690.0,No,No,Low
sector 68,flat,3.0,3.0,2288.0,Yes,No,Low
sector 68,flat,2.0,2.0,1200.0,No,No,Low
sector 70a,flat,3.0,3.0,1946.0,No,No,Medium
sector 90,flat,4.0,4.0,2468.0,Yes,No,Medium
sohna road,flat,2.0,2.0,1319.0,No,Yes,Low
sector 92,flat,3.0,2.0,1325.0,No,No,Medium
sector 69,flat,3.0,3.0,1428.0,No,No,Medium
sector 92,flat,3.0,3.0,1738.0,No,No,Low
sector 77,flat,4.0,3.0,1765.0,Yes,No,Medium
sector 89,flat,3.0,3.0,1581.0,No,Yes,Low
sector 82a,flat,3.0,3.0,1893.0,Yes,No,High
sector 4,house,4.0,4.0,1440.0,No,No,Low
sector 82,flat,4.0,6.0,4425.0,Yes,No,Medium
sector 85,flat,3.0,4.0,2026.0,No,No,High
sector 107,flat,2.0,2.0,627.0,No,No,Low
sector 88b,flat,2.0,2.0,1350.0,No,No,Low
sector 67,flat,3.0,4.0,2016.0,Yes,No,High
sector 37d,flat,2.0,2.0,1100.0,No,No,Low
sector 69,house,4.0,3.0,1800.0,No,No,Medium
sector 3,house,3.0,3.0,112.0,No,No,Low
sector 33,flat,2.0,2.0,1492.0,No,Yes,Medium
sector 3,house,1.0,1.0,3800.0,No,No,Low
sector 109,house,5.0,6.0,3600.0,Yes,Yes,Medium
sector 92,flat,1.0,1.0,336.0,No,No,Medium
sector 81,house,1.0,1.0,1095.0,No,No,Low
sector 65,flat,2.0,2.0,1358.0,No,No,Low
sector 106,flat,3.0,4.0,1186.0,Yes,Yes,High
manesar,flat,3.0,4.0,2480.0,No,No,Low
sector 63a,flat,2.0,3.0,997.0,No,No,Medium
sector 49,flat,3.0,3.0,2061.09,No,Yes,Medium
sector 23,flat,2.0,2.0,995.0,No,No,Low
dlf phase,flat,3.0,3.0,1700.0,Yes,No,High
sector 50,house,5.0,6.0,3240.0,Yes,Yes,High
sector 69,flat,3.0,3.0,1419.0,No,No,Medium
sector 90,flat,2.0,2.0,1222.0,No,Yes,High
sector 50,flat,3.0,3.0,1830.0,No,No,High
sector 85,flat,2.0,2.0,1491.0,No,No,Medium
sector 40,house,9.0,9.0,2367.0,No,No,Medium
sector 4,house,3.0,3.0,4950.0,No,No,Low
sector 89,flat,2.0,2.0,1103.0,No,No,Low
sector 54,flat,4.0,6.0,2826.0,Yes,No,Medium
sector 102,flat,3.0,3.0,1653.0,No,No,High
sector 89,flat,3.0,3.0,1923.0,Yes,Yes,Medium
sector 86,flat,3.0,3.0,1747.0,Yes,No,Medium
sector 9a,flat,4.0,3.0,2007.0,Yes,No,Low
sector 108,flat,4.0,4.0,2631.0,Yes,No,Medium
sector 83,flat,3.0,3.0,1400.0,Yes,No,High
sector 37c,flat,2.0,2.0,667.0,No,No,Low
sector 48,house,4.0,5.0,4000.0,Yes,Yes,Low
sector 65,flat,3.0,4.0,2803.0,Yes,No,Low
sector 56,flat,3.0,3.0,1900.0,Yes,No,Medium
sector 49,flat,3.0,3.0,2006.0,Yes,No,Medium
sector 109,flat,3.0,3.0,1584.0,No,No,Medium
sector 1,flat,2.0,2.0,993.0,No,No,Medium
sector 109,house,4.0,4.0,5400.0,Yes,No,High
sector 57,house,2.0,8.0,1458.0,No,No,Medium
sector 106,flat,3.0,4.0,1186.0,Yes,No,High
sector 1,flat,4.0,4.0,2233.0,No,No,Low
sector 7,house,1.0,1.0,758.0,No,No,Low
sector 70a,flat,3.0,2.0,2406.0,Yes,No,Medium
sector 85,flat,4.0,5.0,2017.0,Yes,No,Low
sector 105,house,3.0,2.0,720.0,No,No,Low
sector 77,flat,3.0,3.0,1602.0,No,No,Low
sector 70,flat,3.0,5.0,2167.0,No,No,Medium
sector 103,house,4.0,5.0,4700.0,No,No,Medium
sector 67a,flat,2.0,2.0,633.0,No,No,Low
sector 83,flat,3.0,3.0,1600.0,No,No,Medium
sector 108,flat,3.0,3.0,1663.0,No,No,High
sector 59,flat,3.0,4.0,2077.0,No,No,Low
sector 63,flat,4.0,4.0,3950.0,No,No,Medium
sector 113,flat,3.0,3.0,2098.0,Yes,No,High
sector 33,house,2.0,2.0,1400.0,No,Yes,Medium
sector 2,house,5.0,5.0,4680.0,Yes,Yes,Medium
sector 37c,flat,2.0,3.0,1299.0,No,Yes,Medium
sector 9,house,9.0,9.0,2610.0,No,Yes,Low
sector 106,flat,4.0,6.0,1535.0,Yes,No,High
sector 109,flat,3.0,2.0,1477.0,No,No,Medium
sector 6,house,6.0,4.0,240.0,No,No,Low
sector 81,flat,2.0,2.0,1194.0,No,No,Low
sector 90,flat,4.0,4.0,2456.0,Yes,No,High
sector 108,flat,2.0,2.0,1250.0,No,No,Medium
sector 90,flat,4.0,4.0,2362.0,Yes,No,Medium
sector 89,flat,2.0,2.0,769.0,No,No,Low
sector 82,house,3.0,3.0,2160.0,Yes,No,Low
sector 56,flat,3.0,3.0,1450.0,No,No,High
sector 36,flat,3.0,2.0,1244.0,No,No,Low
sector 30,flat,3.0,5.0,2367.0,Yes,No,Medium
sector 61,flat,3.0,3.0,1721.0,No,No,Medium
sector 66,house,5.0,6.0,3150.0,Yes,No,High
sector 63,flat,3.0,4.0,1554.0,No,Yes,Medium
sector 89,flat,2.0,2.0,1032.0,No,No,Low
sector 112,flat,4.0,6.0,3662.0,Yes,No,High
sector 45,house,6.0,4.0,2475.0,Yes,Yes,Medium
dlf phase,house,6.0,6.0,2844.0,No,No,Medium
sector 102,flat,2.0,2.0,747.0,No,No,Medium
sector 49,flat,3.0,4.0,2061.0,No,Yes,Low
sector 4,house,3.0,2.0,783.0,No,No,Low
sector 102,flat,2.0,2.0,1368.0,No,No,Low
sector 81,flat,4.0,4.0,3850.0,Yes,Yes,Low
sector 102,flat,3.0,3.0,1336.0,No,No,Medium
sector 106,flat,2.0,2.0,940.0,No,No,Low
sushant lok,house,5.0,5.0,2250.0,Yes,No,Medium
sector 110,flat,4.0,5.0,3077.0,Yes,No,High
sector 81,flat,3.0,2.0,1463.0,No,Yes,Medium
sector 108,flat,3.0,4.0,2850.0,No,No,Low
sector 28,flat,2.0,1.0,1188.0,No,No,Medium
sector 33,flat,2.0,2.0,1385.0,No,No,Medium
sector 49,flat,4.0,4.0,2200.0,Yes,No,Medium
sector 17,house,2.0,6.0,1440.0,No,No,Low
sector 12,house,3.0,3.0,1872.0,No,No,Low
sohna road,flat,2.0,2.0,587.0,No,No,Low
sector 70,flat,3.0,5.0,1527.0,Yes,No,High
sector 83,flat,3.0,3.0,1588.0,No,Yes,High
sector 72,flat,4.0,5.0,2376.0,Yes,No,High
sector 61,flat,3.0,3.0,1538.0,No,No,Medium
sector 65,flat,4.0,4.0,1975.01,Yes,Yes,Medium
sector 70,flat,3.0,2.0,1078.0,No,No,Medium
sector 56,flat,3.0,3.0,1738.0,No,Yes,Medium
sector 112,flat,3.0,3.0,2225.0,No,No,High
sector 10a,house,3.0,4.0,1836.0,No,No,Low
sector 102,flat,3.0,3.0,1314.0,Yes,No,Medium
sector 3,flat,2.0,2.0,778.0,No,No,Low
